"State","Year","Population","Month","Births","BirthsPerThousandWomen"
"Michigan",2022,2171557.83333426,"Sep",8632,3.97502653049136
"Minnesota",2022,1255059.33333365,"Sep",5361,4.27151120079739
"Mississippi",2022,666274.083333761,"Sep",2991,4.48914354440183
"Missouri",2022,1366817.16666564,"Sep",5956,4.35756891649943
"Montana",2022,239683.58333483,"Sep",974,4.06369091469796
"Nebraska",2022,434190.41666553,"Sep",2067,4.7605841139333
"Nevada",2022,717953.749999418,"Sep",2865,3.9905077451052
"New Hampshire",2022,290337.249999811,"Sep",1061,3.65437090831676
"New Jersey",2022,2036945.41666619,"Sep",8580,4.21218945279478
"New Mexico",2022,462528.250001259,"Sep",1827,3.95002899821801
"New York",2022,4434248.16666763,"Sep",17189,3.87641813311447
"North Carolina",2022,2430437.58333351,"Sep",10518,4.32761576438999
"North Dakota",2022,171377.666667681,"Sep",826,4.8197645356072
"Ohio",2022,2561684.74999878,"Sep",10719,4.18435562768022
"Oklahoma",2022,910072.250001201,"Sep",4078,4.48096291255405
"Oregon",2022,960655.916666463,"Sep",3428,3.56839523967684
"Pennsylvania",2022,2807587.9999993,"Sep",11114,3.95855802204696
"Rhode Island",2022,245640.000000599,"Sep",843,3.43185148997697
"South Carolina",2022,1164233.58333489,"Sep",4826,4.14521627711182
"South Dakota",2022,190902.00000298,"Sep",916,4.79827345960598
"Tennessee",2022,1596044.49999907,"Sep",7137,4.47167983098477
"Texas",2022,7203597.66666141,"Sep",33875,4.70251137938687
"Utah",2022,844745.916667522,"Sep",3765,4.4569614670086
"Vermont",2022,137786.833333497,"Sep",464,3.36752060247254
"Virginia",2022,1955749.99999916,"Sep",8140,4.16208615620784
"Washington",2022,1775437.33333462,"Sep",7006,3.94607000115367
"West Virginia",2022,365749.916668351,"Sep",1477,4.0382784320339
"Wisconsin",2022,1266213.66666635,"Sep",4994,3.94404209294949
"Wyoming",2022,124258.749999431,"Sep",534,4.29748408061762
"Alabama",2022,1142451.95833057,"Oct",4839,4.23562668409364
"Alaska",2022,159672.666668059,"Oct",766,4.79731450588488
"Arizona",2022,1638324.74999869,"Oct",6660,4.06512811333976
"Arkansas",2022,677589.874998954,"Oct",2869,4.23412466132914
"California",2022,9060174.6249938,"Oct",35393,3.90643684751542
"Colorado",2022,1376067.54166497,"Oct",5408,3.93003965012983
"Connecticut",2022,806894.624998102,"Oct",2937,3.63988048626165
"Delaware",2022,216248.875001691,"Oct",869,4.01851801538021
"DC",2022,197956.500000017,"Oct",656,3.31385935798999
"Florida",2022,4691051.00000084,"Oct",19144,4.08096181431338
"Georgia",2022,2592251.91666445,"Oct",10407,4.01465611158312
"Hawaii",2022,294918.874997692,"Oct",1314,4.45546254036905
"Idaho",2022,439916.916667809,"Oct",1866,4.24171003500886
"Illinois",2022,2840779.91666772,"Oct",10714,3.77149948756596
"Indiana",2022,1531215.16666776,"Oct",6752,4.4095696979633
"Iowa",2022,694513.416667005,"Oct",3017,4.34404854909599
"Kansas",2022,646900.999999305,"Oct",2775,4.28968265623794
"Kentucky",2022,985395.666666209,"Oct",4296,4.35967007500066
"Louisiana",2022,1039277.45833467,"Oct",4777,4.59646263054204
"Maine",2022,283288.499999995,"Oct",980,3.45937092398745
"Maryland",2022,1388069.66666555,"Oct",5754,4.14532507854766
"Massachusetts",2022,1610034.75000067,"Oct",5737,3.56327712802324
"Michigan",2022,2170865.25000098,"Oct",8412,3.87495262545486
"Minnesota",2022,1255121.83333367,"Oct",5296,4.2195106955741
"Mississippi",2022,666093.041667118,"Oct",2783,4.17809498960479
"Missouri",2022,1367131.58333224,"Oct",5732,4.19272004968888
"Montana",2022,240169.791668241,"Oct",886,3.68905678705787
"Nebraska",2022,434294.874998799,"Oct",2080,4.78937265839426
"Nevada",2022,718544.208332718,"Oct",2830,3.93851897653816
"New Hampshire",2022,290323.458333132,"Oct",1003,3.4547673335067
"New Jersey",2022,2036516.87499949,"Oct",8716,4.27985650745083
